drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
exenatide,NCT01554618,Safety and Efficacy Study of Exenatide Once Weekly in Adolescents With Type 2 Diabetes,COMPLETED,2011-12-02,2021-05-05,PHASE3,INTERVENTIONAL,84,Children and Adolescent With Type 2 Diabetes,AstraZeneca
exenatide,NCT03232112,Does Treatment With GLP-1 Reduce Alcohol Intake in Patients With Alcohol Dependence?,COMPLETED,2017-08-07,2020-10-05,PHASE2,INTERVENTIONAL,152,"Alcohol Dependence, in Remission; Addiction, Alcohol","Anders Fink-Jensen, MD, DMSci"
exenatide,NCT03199261,A Study of Pharmacokinetic Comparison of Two Recombinant Exendin-4 Formulations in Chinese Healthy Male Subjects,COMPLETED,2016-12-23,2017-01-21,PHASE1,INTERVENTIONAL,24,Type 2 Diabetes,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd."
exenatide,NCT02794402,"Double-blinded, 6 Months Study With Bydureon® or Placebo in Adolescents With Obesity to Explore Changes in BMI",COMPLETED,,,PHASE2,INTERVENTIONAL,44,Obesity,Uppsala University
exenatide,NCT00835848,Pharmacological Postconditioning to Reduce Infarct Size Following Primary PCI,COMPLETED,,,PHASE4,INTERVENTIONAL,100,Myocardial Infarction,"Rigshospitalet, Denmark"
exenatide,NCT00324363,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Metformin or Sulfonylureas and Metformin,COMPLETED,,,PHASE3,INTERVENTIONAL,466,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT01473147,Additional GLP-1 Analogue on CSII Treatment for Poorly Controlled Type 2 Diabetic Patients,COMPLETED,,,NA,INTERVENTIONAL,51,Type 2 Diabetes Mellitus,Chang Gung Memorial Hospital
exenatide,NCT01136798,Impact of Exenatide on Sleep in Type 2 Diabetes,COMPLETED,2010-06-01,2016-09-01,NA,INTERVENTIONAL,18,Type 2 Diabetes; Sleep Disordered Breathing,University of Chicago
exenatide,NCT01237314,The Impact of Food on Blood Sugar in People With Type 2 Diabetes,COMPLETED,,,,OBSERVATIONAL,46,Type 2 Diabetes,HealthPartners Institute
exenatide,NCT01791465,Pilot Study of Bydureon to Treat Diabetes in HIV-infected Adults,TERMINATED,,,PHASE4,INTERVENTIONAL,6,Human Immunodeficiency Virus Infection; Diabetes Mellitus,Vanderbilt University
