drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
semaglutide,NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide and NNC0480-0389 Works in People With Type 2 Diabetes,COMPLETED,2021-11-29,2023-03-23,PHASE2,INTERVENTIONAL,500,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04538352,Transition From Basal/Bolus to Once-weekly Subcutaneous Semaglutide and Basal Insulin in Patients With T2D,COMPLETED,2021-01-18,2023-11-01,PHASE4,INTERVENTIONAL,60,Type 2 Diabetes,The Cleveland Clinic
semaglutide,NCT05521256,A Research Study of a New Medicine NNC0113-6856 in Healthy Males,COMPLETED,2022-08-26,2023-03-27,PHASE1,INTERVENTIONAL,70,Healthy Volunteers; Type 2 Diabetes,Novo Nordisk A/S
semaglutide,NCT06738979,A Clinical Study Comparing Semaglutide Injection and Wegovy® for Weight Management in Obese Subjects,NOT_YET_RECRUITING,,,PHASE3,INTERVENTIONAL,408,Obesity,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd."
semaglutide,NCT06648031,"Comparison of the Safety, Efficacy and Pharmacokinetics of DehydraTECH -CBD and DehydraTECH-GLP1 Agonists Alone or in Combination, in Overweight or Obese, Pre- and Type 2 Diabetic Participants",COMPLETED,2024-12-04,2025-07-31,PHASE1,INTERVENTIONAL,148,Type2diabetes,Lexaria Bioscience Corp.
semaglutide,NCT07073053,The Role of Glucagon-Like Peptide-1 Receptor Agonists in Coronary Artery Diseases and Their Potential Mechanisms,NOT_YET_RECRUITING,2025-10-01,2028-07-31,PHASE4,INTERVENTIONAL,60,Glucagon-Like Peptide-1 Receptor Agonists; Type 2 Diabetes; Coronary Arterial Disease (CAD),"Taipei Veterans General Hospital, Taiwan"
semaglutide,NCT04216589,"Study of Semaglutide for Non-Alcoholic Fatty Liver Disease (NAFLD), a Metabolic Syndrome With Insulin Resistance, Increased Hepatic Lipids, and Increased Cardiovascular Disease Risk (The SLIM LIVER Study)",COMPLETED,2021-02-19,2023-09-15,PHASE2,INTERVENTIONAL,51,HIV Infections; Non-Alcoholic Fatty Liver Disease,National Institute of Allergy and Infectious Diseases (NIAID)
semaglutide,NCT07272343,The Impact of Semaglutide Compared to Energy Restriction on Type 2 Diabetes,RECRUITING,2023-02-10,2026-07-01,PHASE4,INTERVENTIONAL,100,Type 2 Diabetes Mellitus (T2DM); Semaglutide; Caloric Restriction,Second Affiliated Hospital of Nanchang University
semaglutide,NCT06400615,Study That Tests AD109 in Patients Taking GLP-1 Drugs,COMPLETED,2024-05-20,2024-12-26,PHASE2,INTERVENTIONAL,40,OSA,Apnimed
semaglutide,NCT03144271,"Dose Escalation Trial of Single Subcutaneous Doses of NNC 0113-0217 to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics in Healthy Male Subjects",COMPLETED,2007-06-11,2007-10-08,PHASE1,INTERVENTIONAL,58,"Diabetes; Diabetes Mellitus, Type 2; Healthy",Novo Nordisk A/S
semaglutide,NCT06884293,A Study Comparing IBI362 vs Semaglutide in Chinese Overweight or Obese Adults With Metabolic Dysfunction-associated Fatty Liver Disease （MAFLD）,RECRUITING,2025-05-09,2027-06-30,PHASE3,INTERVENTIONAL,470,Overweight; Metabolic Dysfunction-associated Fatty Liver Disease (MAFLD),Innovent Biologics (Suzhou) Co. Ltd.
semaglutide,NCT07204249,Glutide for Ending Methamphetamine,NOT_YET_RECRUITING,2026-01-15,2030-02-15,PHASE2,INTERVENTIONAL,162,Methamphetamine-dependence,San Francisco Department of Public Health
semaglutide,NCT06659744,Emulation of the SUSTAIN6 Diabetes Trial Using Healthcare Claims,COMPLETED,2024-10-24,2025-03-06,,OBSERVATIONAL,158310,"Diabetes Mellitus, Type 2",Brigham and Women's Hospital
semaglutide,NCT07030621,Efficacy of Semaglutide in Improving Neurological Outcomes After Endovascular Thrombectomy for Acute Ischemic Stroke: A Randomized Double-Blind Controlled Trial,NOT_YET_RECRUITING,2025-07-01,2028-01-31,PHASE3,INTERVENTIONAL,436,Acute Ischemic Stroke,RenJi Hospital
semaglutide,NCT05616052,Comparison of Body Weight Change Through Different Smeglutide Administration Methods,UNKNOWN,2022-12-01,2023-12-01,PHASE4,INTERVENTIONAL,80,"Weight Change, Body",Huashan Hospital
semaglutide,NCT07018544,"A Multicentre, Prospective, Single-arm, Non-interventional Regulatory Post-marketing Surveillance (rPMS) Study to Investigate the Safety and Effectiveness of Wegovy® (Semaglutide) in Patients With Obesity and Patients With Overweight in Routine Clinical Practice in Korea",ENROLLING_BY_INVITATION,2024-11-19,2027-02-28,,OBSERVATIONAL,840,Obesity and Overweight,Novo Nordisk A/S
semaglutide,NCT06649344,A Study of HRS9531 Versus Semaglutide Once Weekly as Add-on Therapy to Metformin Monotherapy or in Combination With SGLT2 Inhibitors in Participants With Type 2 Diabetes,ACTIVE_NOT_RECRUITING,2024-10-31,2026-09-30,PHASE3,INTERVENTIONAL,884,Type 2 Diabetes,"Fujian Shengdi Pharmaceutical Co., Ltd."
semaglutide,NCT05779644,"Effects of GLP-1RA on Body Weight, Metabolism and Fat Distribution in Overweight/Obese Patients With Type 2 Diabetes Mellitus",UNKNOWN,2023-02-23,2025-02-23,NA,INTERVENTIONAL,300,"Metformin; Obesity, Abdominal; Diabetes Mellitus, Type 2; Abdominal Fat; Non-Alcoholic Fatty Liver Disease; Metabolism Disorder, Glucose; Metabolism Disorder, Lipid",RenJi Hospital
semaglutide,NCT05478252,A Research Study to Compare Two Semaglutide Medicines in People With Type 2 Diabetes,COMPLETED,2022-08-03,2023-09-18,PHASE3,INTERVENTIONAL,388,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT06184633,DUTCH Weight Control in Atrial Fibrillation Study,RECRUITING,2024-07-21,2027-05-01,PHASE4,INTERVENTIONAL,280,Atrial Fibrillation; Obesity; Weight Loss,Rijnstate Hospital
semaglutide,NCT06045221,A Study of Orforglipron (LY3502970) Compared With Semaglutide in Participants With Type 2 Diabetes Inadequately Controlled With Metformin,COMPLETED,2023-09-22,2025-08-22,PHASE3,INTERVENTIONAL,1698,Type 2 Diabetes,Eli Lilly and Company
semaglutide,NCT06686134,Comprehensive Clinical Evaluation Study of GLP-1RA,RECRUITING,2024-07-01,2026-07-31,,OBSERVATIONAL,492,T2DM,LI YAN
semaglutide,NCT06909006,Semaglutide Treatment in Type 1 Diabetes,NOT_YET_RECRUITING,,,PHASE3,INTERVENTIONAL,122,Obesity in Diabetes; Obesity/Therapy; Type 1 Diabetes Mellitus (T1DM); Insulin Sensitivity/Resistance; Semaglutide; Lipidomics; Metabolomics; Weight Loss; Glycemic Control for Diabetes Mellitus,Nordsjaellands Hospital
semaglutide,NCT03552757,Research Study Investigating How Well Semaglutide Works in People With Type 2 Diabetes Suffering From Overweight or Obesity,COMPLETED,2018-06-04,2020-05-01,PHASE3,INTERVENTIONAL,1210,Obesity; Overweight,Novo Nordisk A/S
semaglutide,NCT01923181,"Multiple Dose Trial Examining Dose Range, Escalation and Efficacy of Oral Semaglutide in Subjects With Type 2 Diabetes",COMPLETED,2013-12-02,2014-12-11,PHASE2,INTERVENTIONAL,632,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT07200622,Oral Semaglutide in Patients With Alzheimer's Disease,NOT_YET_RECRUITING,2025-09-25,2028-12-31,PHASE2,INTERVENTIONAL,60,Alzheimer Disease,Imperial College London
semaglutide,NCT02906930,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only,COMPLETED,2016-09-20,2017-12-08,PHASE3,INTERVENTIONAL,703,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT06897475,A Study of LY3457263 Compared With Placebo in Participants With Type 2 Diabetes on a Stable Dose of Semaglutide or Tirzepatide,RECRUITING,2025-03-28,,PHASE2,INTERVENTIONAL,240,Type 2 Diabetes,Eli Lilly and Company
semaglutide,NCT07021937,Brain Plasticity and GLP-1 Receptor Agonist Treatment for Obesity,NOT_YET_RECRUITING,2026-05-01,2031-04-30,PHASE3,INTERVENTIONAL,120,Obesity/Therapy,"University of Colorado, Denver"
semaglutide,NCT06814938,A Study of a Novel Precision Medicine Approach For Obesity,RECRUITING,2025-02-21,,PHASE4,INTERVENTIONAL,135,Obesity,Mayo Clinic
semaglutide,NCT04102189,A Research Study on How Well Semaglutide Works in Adolescents With Overweight or Obesity,COMPLETED,2019-10-07,2022-03-28,PHASE3,INTERVENTIONAL,201,Overweight; Obesity,Novo Nordisk A/S
semaglutide,NCT07035704,"Prevent and Reverse Obesity in Children, Adolescents and Young Adults",NOT_YET_RECRUITING,2025-09-15,2027-03-30,NA,INTERVENTIONAL,200,Overweight (BMI &gt; 25),piero portincasa
semaglutide,NCT07065383,Rebalancing the Fat Content of the Heart and Muscles,NOT_YET_RECRUITING,2025-08-01,2028-07-31,NA,INTERVENTIONAL,60,Diabetes Mellitus Type 2,University of Aberdeen
semaglutide,NCT01885208,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes,COMPLETED,2013-12-02,2015-07-13,PHASE3,INTERVENTIONAL,813,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT03987919,A Study of Tirzepatide (LY3298176) Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Participants With Type 2 Diabetes,COMPLETED,2019-07-30,2021-02-15,PHASE3,INTERVENTIONAL,1879,Type 2 Diabetes,Eli Lilly and Company
semaglutide,NCT06027567,"The Effect of an Anti-obesity Drug, Semaglutide, as Treatment in New-onset Idiopathic Intracranial Hypertension (IIH) Compared to Standard Weight Management (Dietician) With Regards to Change in Weight and Intracranial Pressure",COMPLETED,2022-09-02,2025-10-28,PHASE4,INTERVENTIONAL,38,Idiopathic Intracranial Hypertension; Intracranial Pressure; Obesity; Pseudotumor Cerebri Syndrome; Papilledema; Weight Loss,Rigmor Højland Jensen
semaglutide,NCT04979130,Comparing Semaglutide Versus Placebo on Intestinal Barrier Function in Type 2 Diabetes Mellitus (SIB),COMPLETED,2022-01-01,2024-10-16,PHASE4,INTERVENTIONAL,69,Type 2 Diabetes; Chronic Inflammation; Intestinal Permeability,"University of Colorado, Denver"
semaglutide,NCT07225816,"Examination of How the Duration of Fasting and Temporary Stopping of GLP-1 Medications Affect the Amount of Food Left in the Stomach in People Using Liraglutide (Injected), Semaglutide (Taken by Mouth) or Semaglutide (Injected)",RECRUITING,2025-11-07,2026-07-17,PHASE1,INTERVENTIONAL,75,Obesity,Novo Nordisk A/S
semaglutide,NCT07226947,Body Composition and Exercise to Prevent Muscle Loss With GLP1 Agonist Treatment,RECRUITING,2025-11-24,,NA,INTERVENTIONAL,100,Obesity; Body Composition,Massachusetts General Hospital
semaglutide,NCT06874751,Semaglutide Effects on Cardiovascular Outcomes in People With Overweight or Obesity in the Real World,COMPLETED,2024-12-06,2025-03-28,,OBSERVATIONAL,45456,Overweight; Obesity; Atherosclerotic Cardiovascular Disease (ASCVD),Novo Nordisk A/S
semaglutide,NCT07272837,Impact of Semaglutide (Ozempic/Wegovy®) on Heart and Muscle Mass,RECRUITING,2026-04-14,2028-04-30,,OBSERVATIONAL,50,Type 2 Diabetes; Obesity; Semaglutide; GLP-1; Diabetes,University of Alberta
semaglutide,NCT05671653,"A Study to Evaluate the Effect of the Experimental GLP-1 Drug PF-07081532 on Blood Levels of Common Birth Control Pills, and Drugs Omeprazole and Midazolam, and Effect of GLP-1 Drug Semaglutide on Midazolam Blood Levels in Healthy Adults With Weight in the Obesity Range",TERMINATED,2023-01-19,2023-11-03,PHASE1,INTERVENTIONAL,32,Obesity,Pfizer
semaglutide,NCT07509112,Semaglutide for Treatment of People With Methamphetamine Use Disorder: the SHIFT Study,NOT_YET_RECRUITING,,,PHASE2,INTERVENTIONAL,40,Methamphetamine Use Disorder,Kirby Institute
semaglutide,NCT02172313,Effect of Food on the Pharmacokinetics of Oral Semaglutide in Healthy Subjects,COMPLETED,,,PHASE1,INTERVENTIONAL,78,Diabetes; Healthy,Novo Nordisk A/S
semaglutide,NCT06149260,Subcutaneous Semaglutide in Systemic Scleroderma,UNKNOWN,2024-02-29,,PHASE1,INTERVENTIONAL,10,"Scleroderma, Systemic; Fibrosis; Semaglutide",Second Xiangya Hospital of Central South University
semaglutide,NCT02305381,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to Basal Insulin Alone or Basal Insulin in Combination With Metformin in Subjects With Type 2 Diabetes,COMPLETED,2014-12-01,2015-11-21,PHASE3,INTERVENTIONAL,397,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT07055607,"A Two-year Prospective, Observational Study of Wegovy in Real-world Clinical Practice",ENROLLING_BY_INVITATION,2025-11-21,2028-08-15,,OBSERVATIONAL,1250,Obesity,Novo Nordisk A/S
semaglutide,NCT07284979,Efficacy and Safety of KAI-9531 Administered Once Weekly Compared With Semaglutide and Placebo in Participants Living With Obesity Who Do Not Have Diabetes,RECRUITING,2025-12-30,2028-04-17,PHASE3,INTERVENTIONAL,1200,Obesity,Kailera
semaglutide,NCT05227196,A Research Study Looking at the Comparability of 2 Different Forms of Oral Semaglutide in Healthy People,COMPLETED,2022-02-04,2023-08-08,PHASE1,INTERVENTIONAL,546,Healthy Volunteers; Type 2 Diabetes,Novo Nordisk A/S
semaglutide,NCT07505303,MIST (Metabolic Intervention With Semaglutide and THR-β Therapy) Trial,NOT_YET_RECRUITING,2026-03-13,2026-11-20,PHASE2,INTERVENTIONAL,160,Adult Obesity; Weight Management,Eccogene
semaglutide,NCT05132088,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in East Asian People Who Are Overweight or Living With Obesity,COMPLETED,2021-11-16,2023-09-01,PHASE3,INTERVENTIONAL,201,Overweight and Obesity,Novo Nordisk A/S
semaglutide,NCT03631186,"A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in Switzerland, as Part of Local Clinical Practice (SURE SWITZERLAND)",COMPLETED,2018-09-12,2019-12-18,,OBSERVATIONAL,215,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04880005,Digital Individualized and Collaborative Treatment of T2D in General Practice Based on Decision Aid,RECRUITING,2021-06-01,2025-12-30,NA,INTERVENTIONAL,400,Diabetes type2,University of Southern Denmark
semaglutide,NCT07244445,Pistachio Intake and Nutrition-Related Outcomes in Individuals on GLP-1 Therapy,RECRUITING,2026-01-29,,NA,INTERVENTIONAL,108,Dietary Change; Obesity & Overweight; Food Acceptance,"Ian J. Neeland, MD"
semaglutide,NCT06987669,Gastric Emptying in Healthy Volunteers and GLP-1 Agonist Users,NOT_YET_RECRUITING,2025-05-17,2027-12-31,,OBSERVATIONAL,155,Diabetes Type 2; Obesity and Overweight,Clinica Alemana de Santiago
semaglutide,NCT07478653,"MODERN-Dental: Pediatric Obesity, Cardiometabolic Risks, And Periodontal Disease",NOT_YET_RECRUITING,2026-05-01,2028-07-31,NA,INTERVENTIONAL,50,Obesity; Dental Care for Children,Oelisoa Andriankaja
semaglutide,NCT00851773,"Safety, Tolerability, and Profile of Action of Drug in the Body of NN9535 in Healthy Male Japanese and Caucasian Subjects",COMPLETED,,,PHASE1,INTERVENTIONAL,84,Diabetes; Healthy,Novo Nordisk A/S
semaglutide,NCT07309094,"Clinical, Morphometric and Biochemical Effects on Adiposopathy Associated With the Use of GLP-1RA in CKD",RECRUITING,2023-09-15,2028-12-31,,OBSERVATIONAL,250,"Chronic Kidney Disease stage3; Chronic Kidney Disease stage4; Chronic Kidney Disease Stage 1; Chronic Kidney Disease Stage 2; Obesity; Diabetes Mellitus, Type 2",Cardenal Herrera University
semaglutide,NCT07392151,Reversal to Normoglycemia by Treating Prediabetes,NOT_YET_RECRUITING,,,PHASE3,INTERVENTIONAL,158,Prediabetes; Chronic Coronary Syndrome,Michael Mæng
semaglutide,NCT05013229,"A Research Study to See How Well the New Weekly Medicine IcoSema, Which is a Combination of Insulin Icodec and Semaglutide, Controls Blood Sugar Level in People With Type 2 Diabetes Compared to Insulin Glargine Taken Daily With Insulin Aspart (COMBINE 3)",COMPLETED,2021-11-30,2023-11-14,PHASE3,INTERVENTIONAL,679,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04969939,A Research Study to Investigate How Well NNC0165-1875 in Combination With Semaglutide Works in People With Obesity,COMPLETED,2021-07-15,2023-01-30,PHASE2,INTERVENTIONAL,120,Obesity,Novo Nordisk A/S
semaglutide,NCT06065540,"A Research Study to See How Well CagriSema Compared to Semaglutide, Cagrilintide and Placebo Lowers Blood Sugar and Body Weight in People With Type 2 Diabetes Treated With Metformin With or Without an SGLT2 Inhibitor",COMPLETED,2023-09-27,2026-01-06,PHASE3,INTERVENTIONAL,2734,Type 2 Diabetes Mellitus,Novo Nordisk A/S
semaglutide,NCT05501483,Adipose Tissue Heterogeneity and Its Link to Type 2 Diabetes,RECRUITING,2023-02-08,2032-12-31,NA,INTERVENTIONAL,60,Type 2 Diabetes,Karolinska Institutet
semaglutide,NCT01766245,"A Randomised, Single Centre, Double-blind, Two-period, Cross-over Trial in Healthy Subjects Investigating the Bioequivalence Between Subcutaneous Injections of Semaglutide Produced by Two Manufacturing Processes",COMPLETED,,,PHASE1,INTERVENTIONAL,28,Diabetes; Healthy,Novo Nordisk A/S
semaglutide,NCT06069622,Role of Caveolin 1 (CAV-1) Deficiency in Response to Glucagon-like Peptide 1 (GLP-1) Receptor Agonist Treatment,RECRUITING,2023-11-01,2026-11-30,,OBSERVATIONAL,30,Overweight and Obesity,Brigham and Women's Hospital
semaglutide,NCT05502562,A Research Study to Understand How Oral Semaglutide Works in People With Type 2 Diabetes in India,COMPLETED,2023-02-24,2024-06-03,,OBSERVATIONAL,388,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT02161588,"A Trial to Assess the Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of Oral Semaglutide in Healthy Male Japanese and Caucasian Subjects",COMPLETED,,,PHASE1,INTERVENTIONAL,48,"Diabetes; Diabetes Mellitus, Type 2; Healthy",Novo Nordisk A/S
semaglutide,NCT07064486,A Study of BGM0504 in Participants With Type 2 Diabetes in Indonesia,RECRUITING,2025-07-04,2026-07-31,PHASE3,INTERVENTIONAL,477,Type 2 Diabetes (T2DM),"BrightGene Bio-Medical Technology Co., Ltd."
semaglutide,NCT05822830,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight With Weight Related Comorbidities,COMPLETED,2023-04-21,2024-11-13,PHASE3,INTERVENTIONAL,751,Obesity; Overweight,Eli Lilly and Company
semaglutide,NCT05537233,ADJUnct Semaglutide Treatment in Type 1 Diabetes,COMPLETED,2023-04-11,2024-08-06,PHASE2,INTERVENTIONAL,115,Type 1 Diabetes; Obesity,Viral N. Shah
semaglutide,NCT06761703,A Study to Determine the Feasibility of Online Recruitment of People Using an Anti-Obesity Medication for Weight Loss,COMPLETED,2024-11-14,2025-01-06,,OBSERVATIONAL,200,Obesity,Amgen
semaglutide,NCT05996874,A Research Study Comparing the Effect of Different Dosing Conditions on Blood Levels of Semaglutide in a New Tablet Composition in Healthy Participants,COMPLETED,2023-08-12,2024-04-18,PHASE1,INTERVENTIONAL,121,Healthy Participants,Novo Nordisk A/S
semaglutide,NCT03292315,Once Weekly GLP-1 in Persons With Spinal Cord Injury,COMPLETED,2018-10-16,2023-03-01,PHASE4,INTERVENTIONAL,5,Spinal Cord Injuries; Insulin Resistance; Pre Diabetes; Obesity,James J. Peters Veterans Affairs Medical Center
semaglutide,NCT05816057,A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus,COMPLETED,2022-07-25,2023-10-31,PHASE3,INTERVENTIONAL,476,"Diabetes Mellitus, Type 2","Hangzhou Jiuyuan Gene Engineering Co. Ltd.,"
semaglutide,NCT06788626,Glucagon-like Peptide 1 Receptor Agonist in Acute Large Vessel Occlusion Stroke After Endovascular Treatment,NOT_YET_RECRUITING,,,PHASE3,INTERVENTIONAL,390,Acute Ischemic Stroke; Large Vessel Occlusion; Neuroprotective Drugs; Endovascular Treatment,Wei Hu
semaglutide,NCT07115069,Comparison of Body Composition Changes With Weight Loss Interventions,RECRUITING,2025-08-09,,,OBSERVATIONAL,60,Obesity,Vanderbilt University Medical Center
semaglutide,NCT06083675,Research Study to Compare Semaglutide Tablets With Empagliflozin or Metformin Tablets in People With Type 2 Diabetes,WITHDRAWN,2024-01-26,2027-05-28,PHASE3,INTERVENTIONAL,0,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT06716307,A Research Study to Compare Blood Levels of Cagrilintide and Semaglutide After Single Doses of Different Versions of Injectable CagriSema in Adults With Overweight or Obesity,COMPLETED,2024-12-02,2025-05-22,PHASE1,INTERVENTIONAL,18,Obesity,Novo Nordisk A/S
semaglutide,NCT06619015,Tailoring Obesity Treatment Trial,WITHDRAWN,2025-04-01,2025-04-01,"PHASE2, PHASE3",INTERVENTIONAL,0,Obesity; Appetite Regulation; PreDiabetes,Esbjerg Hospital - University Hospital of Southern Denmark
semaglutide,NCT06885736,LEAN Mass Preservation With Resistance Exercise and Protein During Semaglutide/Tirzepatide Therapy,RECRUITING,2025-08-07,2029-12-31,NA,INTERVENTIONAL,232,Obesity,Dasman Diabetes Institute
semaglutide,NCT06981936,This Randomized Trial Aims to Investigate the Efficacy of Balanced Nutritional Tablets-Comprehensive Multivitamin and Mineral Supplements- in Preventing Micronutrient Deficiencies Among Patients Utilizing GLP-1 RAs for Weight Loss in Comparison to a Placebo Control,RECRUITING,2025-05-15,,PHASE4,INTERVENTIONAL,150,Micronutrient Deficiencies,"General Committee of Teaching Hospitals and Institutes, Egypt"
semaglutide,NCT03086330,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to SGLT-2i in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2017-03-15,2018-08-06,PHASE3,INTERVENTIONAL,302,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT05788965,Semaglutide in CFRD,COMPLETED,2023-10-16,2024-12-31,"PHASE2, PHASE3",INTERVENTIONAL,8,Cystic Fibrosis; Cystic Fibrosis-related Diabetes,University of Minnesota
semaglutide,NCT06207877,"A Research Study to Look at How CagriSema Influences Food Intake, Appetite and Emptying of the Stomach in People With Excess Body Weight",COMPLETED,2024-02-23,2024-11-22,PHASE1,INTERVENTIONAL,62,Obesity,Novo Nordisk A/S
semaglutide,NCT04572165,Epidemiological Assessment of the Risk for Pancreatic Cancer Associated With the Use of Semaglutide in Patients With Type 2 Diabetes - A Cohort Study Based on Nordic Registry Data,UNKNOWN,2021-01-26,2024-12-31,,OBSERVATIONAL,600000,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT05129891,A Research Study Looking at New Protein-based Tablets in Healthy Male Participants,COMPLETED,2021-11-03,2023-05-04,PHASE1,INTERVENTIONAL,384,Healthy Volunteers; High Blood Cholesterol Levels; Type 2 Diabetes,Novo Nordisk A/S
semaglutide,NCT03929679,"A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in The Netherlands, as Part of Local Clinical Practice (SURE NETHERLANDS)",COMPLETED,2019-05-28,2020-11-24,,OBSERVATIONAL,218,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04822181,Research Study on Whether Semaglutide Works in People With Non-alcoholic Steatohepatitis (NASH),ACTIVE_NOT_RECRUITING,2021-04-01,2029-04-25,PHASE3,INTERVENTIONAL,1205,Non-alcoholic Steatohepatitis,Novo Nordisk A/S
semaglutide,NCT04892199,Does GLP-1RA Prevent Deterioration of Metabolic State in Prediabetic and Diabetic Patients Treated With Antipsychotic Medication?,ACTIVE_NOT_RECRUITING,2021-09-01,2026-08-01,PHASE4,INTERVENTIONAL,104,Metabolic Disturbance; Schizophrenia; Type 2 Diabetes; Clozapine; GLP-1; Olanzapine,"Anders Fink-Jensen, MD, DMSci"
semaglutide,NCT04524832,"Research Study Comparing New Tablets of Semaglutide in New Doses, in Healthy People",COMPLETED,2020-09-29,2022-02-25,PHASE1,INTERVENTIONAL,290,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04940078,A Research Study to Compare Blood Levels of Cagrilintide and Semaglutide After Combined Versus Separate Injections in People With Overweight or Obesity,COMPLETED,2021-07-07,2022-02-16,PHASE1,INTERVENTIONAL,40,Obesity & Overweight,Novo Nordisk A/S
semaglutide,NCT05872022,A Study to Evaluate Safety of Exposure to Wegovy During Pregnancy,ENROLLING_BY_INVITATION,2023-07-05,2032-12-30,,OBSERVATIONAL,728,Pregnancy; Obesity; Overweight,Novo Nordisk A/S
semaglutide,NCT06489457,The Effects of Semaglutide vs Testosterone Replacement Therapy on Functional Hypogonadism and Sperm Quality in Men With Type 2 Diabetes Mellitus and Obesity,COMPLETED,2020-09-20,2023-06-30,PHASE3,INTERVENTIONAL,25,Type 2 Diabetes Mellitus; Obesity; Functional Hypogonadism,University Medical Centre Ljubljana
semaglutide,NCT07036172,Efficacy and Safety of Semaglutide Injection Vs WEGOVY® in Chinese Obese Patients,RECRUITING,2025-01-03,,PHASE3,INTERVENTIONAL,460,Obesity Control,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd."
semaglutide,NCT06557811,Effect of Oral Semaglutide on Epicardial and Pericoronary Adipose Tissues in Type 2 Diabetes After Myocardial Infarction,NOT_YET_RECRUITING,2024-09-01,2026-09-01,PHASE4,INTERVENTIONAL,88,Diabetic Patients; Acute Myocardial Infarction,University of Sao Paulo General Hospital
semaglutide,NCT06005012,Semaglutide Treatment in the Real-world for Fibrosis Due to NAFLD in Obesity and T2DM,UNKNOWN,2023-07-25,,PHASE2,INTERVENTIONAL,120,"Fibrosis, Liver; Type 2 Diabetes Mellitus in Obese; Non-Alcoholic Fatty Liver Disease","University of California, San Diego"
semaglutide,NCT04788511,Research Study to Investigate How Well Semaglutide Works in People Living With Heart Failure and Obesity,COMPLETED,2021-03-16,2023-04-18,PHASE3,INTERVENTIONAL,529,Obesity,Novo Nordisk A/S
semaglutide,NCT01511393,An Active Surveillance Program for Cases of Medullary Thyroid Carcinoma (MTC),ENROLLING_BY_INVITATION,,,,OBSERVATIONAL,6750,"Diabetes; Diabetes Mellitus, Type 2; Medullary Thyroid Carcinoma; Weight Management",Novo Nordisk A/S
semaglutide,NCT07462663,SHAPE-ENDO: Multimodal Pre-Surgical Optimization in Patients With Obesity and Early-Stage Endometrial Cancer (Phase 1),NOT_YET_RECRUITING,,,,OBSERVATIONAL,82,Endometrial Cancer; Endometrial Cancer Stage I; Atypical Endometrial Hyperplasia and Endometrial Carcinoma Stage I; Atypical Endometrial Hyperplasia; Endometrial Intraepithelial Neoplasia; Obesity & Overweight; BMI>40; Obesity; Obesity Grade III,Hospital Universitari de Bellvitge
semaglutide,NCT03598621,A Research Study to Look at Similarity Between Semaglutide Versions in Different Injection Tools,COMPLETED,2018-07-23,2019-01-17,PHASE1,INTERVENTIONAL,68,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT07314684,GLP1-RAs Effects on Inflammatory and Endothelial Biomarkers in T2DM,RECRUITING,2025-09-08,2027-03-08,PHASE4,INTERVENTIONAL,80,T2DM (Type 2 Diabetes Mellitus),Federico II University
